"taxa","Group","Species","Combined","TaxID"
"41968_BAC67001_rbcL","Hymenophyllales","Hymenophyllum reniforme","Hymenophyllales | Hymenophyllum reniforme",41968
"191650_BAC66999_rbcL","Hymenophyllales","Hymenophyllum microcarpum","Hymenophyllales | Hymenophyllum microcarpum",191650
"32108_AXX76473_rbcL","Gleicheniales","Dipteris conjugata","Gleicheniales | Dipteris conjugata",32108
"397682_AHA59686_rbcL","Gleicheniales","Diplopterygium glaucum","Gleicheniales | Diplopterygium glaucum",397682
"90693_QCD15697_rbcL","Osmundales","Osmunda japonica","Osmundales | Osmunda japonica",90693
"3284_AHA59565_rbcL","Osmundales","Osmundastrum cinnamomeum","Osmundales | Osmundastrum cinnamomeum",3284
"13333_AAA92149_rbcL","Nymphaeales","Amborella trichopoda","Nymphaeales | Amborella trichopoda",13333
"38861_AWD77744_rbcL","Nymphaeales","Nuphar pumila","Nymphaeales | Nuphar pumila",38861
"2173159_AWD77659_rbcL","Nymphaeales","Nuphar longifolia","Nymphaeales | Nuphar longifolia",2173159
"296032_AYE68046_rbcL","Nymphaeales","Cabomba furcata","Nymphaeales | Cabomba furcata",296032
"310672_AYE67957_rbcL","Nymphaeales","Cabomba aquatica","Nymphaeales | Cabomba aquatica",310672
