no,Model,lnL,AIC,AICc,BIC,Cmean,pC,I,pI,Lambda,pL,K,pK,Kstar,pKs
76,WAG+F+I,11368.930,23259.860,23901.945,24346.485,0.817851632,0.001,0.503348526,0.001,1.015349891,0.001,0.413672793,0.001,0.629571472,0.001
77,cpREV+F+R2,11366.841,23257.683,23907.739,24348.471,0.758270134,0.001,0.434479619,0.001,1.029945297,0.001,0.362660038,0.001,0.558766635,0.001
78,Blosum62+F,11375.543,23271.085,23905.291,24353.547,0.740838878,0.001,0.421548771,0.001,1.004420014,0.001,0.740929667,0.001,0.985111358,0.001
79,JTT+G4,11471.159,23426.317,23933.265,24433.839,0.803861035,0.001,0.400104099,0.001,1.018756404,0.001,4.373614918,0.001,1.93792131,0.001
80,JTT+I+G4,11471.130,23428.259,23941.610,24439.945,0.83736975,0.001,0.42497955,0.001,1.018366845,0.001,1.265768595,0.001,1.218038029,0.001
81,JTTDCMut+G4,11474.924,23433.847,23940.795,24441.369,0.707151167,0.001,0.468479732,0.001,1.019548087,0.001,0.429640776,0.001,0.563165947,0.001
82,JTTDCMut+I+G4,11474.965,23435.931,23949.281,24447.616,0.911059783,0.001,0.597003028,0.001,1.032092923,0.001,0.374818097,0.001,1.993597409,0.001
83,JTT+R3,11469.798,23429.596,23955.971,24449.608,0.559291123,0.001,0.474761947,0.001,1.015709605,0.001,0.109575159,0.001,0.3473114,0.001
84,JTTDCMut+R3,11473.876,23437.752,23964.128,24457.764,0.614117957,0.001,0.47143657,0.001,1.002778179,0.001,0.121355367,0.001,0.544498948,0.001
85,VT+F,11428.417,23376.833,24011.039,24459.295,0.620985497,0.001,0.256960694,0.001,1.001022597,0.001,0.795396835,0.001,0.559306757,0.001
86,JTT+R4,11468.579,23431.158,23970.858,24459.497,0.653099911,0.001,0.266315146,0.007,1.01774482,0.001,2.580919461,0.001,1.092098096,0.001
87,JTTDCMut+R4,11472.655,23439.310,23979.010,24467.648,0.758814862,0.001,0.564663821,0.001,1.019319899,0.001,0.148933227,0.001,0.833981476,0.001
88,JTT+R2,11502.149,23490.297,24003.648,24501.983,0.895629163,0.001,0.607718,0.001,1.021377746,0.001,0.492578443,0.001,1.556256708,0.001
89,PMB,11510.619,23503.238,24003.856,24506.597,0.302268667,0.001,0.17971081,0.002,1.011329747,0.001,0.319051959,0.001,0.351906126,0.001
90,JTTDCMut+R2,11505.971,23497.942,24011.293,24509.628,0.910581356,0.001,0.530219835,0.001,1.010835996,0.001,1.599969157,0.001,2.166561937,0.001
91,JTT+F+I,11526.142,23574.284,24216.369,24660.909,0.87474104,0.001,0.319910267,0.003,1.005197174,0.001,2.872624866,0.001,1.73632362,0.001
92,Blosum62,11591.292,23664.583,24165.201,24667.942,0.829925815,0.001,0.587445916,0.001,1.033253556,0.001,0.340816821,0.001,1.514208076,0.001
93,JTTDCMut+F+I,11534.981,23591.961,24234.046,24678.587,0.587245645,0.001,0.259000644,0.001,1.002719408,0.001,0.822164368,0.001,0.585959932,0.001
94,WAG+I,11596.894,23677.787,24184.736,24685.310,0.701044185,0.001,0.386759079,0.001,1.005830779,0.001,0.561791751,0.001,0.714712441,0.001
95,cpREV+G4,11615.991,23715.982,24222.930,24723.504,0.925146605,0.001,0.72085791,0.001,1.024811286,0.001,0.446796066,0.001,1.399726136,0.001
96,cpREV+I+G4,11615.341,23716.682,24230.033,24728.368,0.835995303,0.001,0.557110824,0.001,1.021289982,0.001,1.006721391,0.001,1.153578187,0.001
97,cpREV+R3,11612.655,23715.310,24241.685,24735.322,0.585436985,0.001,0.258543836,0.001,1.033323155,0.001,0.543039154,0.001,0.47096494,0.001
98,cpREV+R4,11611.529,23717.058,24256.758,24745.397,0.587502532,0.001,0.291376678,0.001,1.02508177,0.001,0.18777199,0.001,0.453833346,0.001
99,cpREV+R2,11650.102,23786.203,24299.554,24797.889,0.872688773,0.001,0.505208553,0.001,1.021841669,0.001,1.439340821,0.001,1.274086707,0.001
100,VT,11691.345,23864.689,24365.307,24868.048,0.795923501,0.001,0.391329514,0.001,1.002601624,0.001,0.517657202,0.001,0.746623711,0.001
101,cpREV+F+I,11652.002,23826.003,24468.088,24912.628,0.720585659,0.001,0.539447941,0.001,1.056175445,0.001,0.211116255,0.001,0.607792762,0.001
102,Dayhoff+F+G4,11679.541,23881.082,24523.166,24967.707,0.734765978,0.001,0.437480263,0.001,1.011753688,0.001,0.990622061,0.001,0.802184945,0.001
103,Dayhoff+F+I+G4,11677.184,23878.369,24528.425,24969.157,0.678041993,0.001,0.435260087,0.001,1.049962806,0.001,0.135269722,0.001,0.453819406,0.001
104,DCMut+F+G4,11682.296,23886.592,24528.677,24973.218,0.805816159,0.001,0.656968955,0.001,1.004126942,0.001,0.176679409,0.001,0.991138283,0.001
105,DCMut+F+I+G4,11679.789,23883.578,24533.635,24974.367,0.796273194,0.001,0.287092279,0.003,1.036794499,0.001,1.906646969,0.001,1.251796619,0.001
106,JTT+I,11746.425,23976.850,24483.799,24984.373,0.785753785,0.001,0.456340712,0.001,1.0504592,0.001,0.196933876,0.001,0.856643515,0.001
107,Dayhoff+F+R3,11678.968,23885.936,24552.222,24985.051,0.824958667,0.001,0.294265334,0.009,1.022535881,0.001,2.509136037,0.001,1.709824469,0.001
108,DCMut+F+R3,11681.515,23891.030,24557.316,24990.145,0.669392599,0.001,0.324973593,0.001,1.050856947,0.001,0.283795572,0.001,0.441489151,0.001
109,JTTDCMut+I,11751.893,23987.786,24494.734,24995.308,0.641850828,0.001,0.193079907,0.012,1.012296637,0.001,1.457158548,0.001,0.714578637,0.001
110,Dayhoff+F+R4,11678.528,23889.055,24571.959,24996.497,0.776985831,0.001,0.546053968,0.001,1.051729816,0.001,0.625937569,0.001,0.934527633,0.001
111,DCMut+F+R4,11680.870,23893.740,24576.644,25001.182,0.762691925,0.001,0.417604441,0.001,1.010739,0.001,0.636686448,0.001,0.921637554,0.001
112,WAG+F,11700.507,23921.015,24555.220,25003.477,0.515662057,0.001,0.263362034,0.002,1.008049904,0.001,0.13201793,0.001,0.447887783,0.001
113,Dayhoff+F+R2,11738.300,24000.600,24650.657,25091.389,0.813854636,0.001,0.478053446,0.001,1.02699857,0.001,0.336994977,0.001,0.717860299,0.001
114,DCMut+F+R2,11743.419,24010.839,24660.895,25101.627,0.813131418,0.001,0.512193831,0.001,1.02360049,0.001,0.143051245,0.001,0.78755698,0.001
