No.,Model,-LnL,df,AIC,AICc,BIC
56,Dayhoff+I+G4,8828.893,245,18147.785,18738.668,19154.551
57,Dayhoff+R2,8888.246,245,18266.493,18857.375,19273.258
58,Dayhoff+R3,8831.552,247,18157.104,18763.599,19172.088
59,Dayhoff+R4,8820.871,249,18139.743,18762.243,19162.945
60,Dayhoff+R5,8815.160,251,18132.321,18771.230,19163.742
66,Dayhoff+F,9485.962,262,19495.924,20232.887,20572.547
67,Dayhoff+F+I,9101.299,263,18728.599,19475.180,19809.331
68,Dayhoff+F+G4,8860.286,263,18246.572,18993.152,19327.304
69,Dayhoff+F+I+G4,8853.034,264,18234.069,18990.393,19318.910
70,Dayhoff+F+R2,8911.157,264,18350.313,19106.638,19435.155
71,Dayhoff+F+R3,8855.645,266,18243.290,19019.486,19336.349
72,Dayhoff+F+R4,8844.326,268,18224.653,19021.250,19325.931
73,Dayhoff+F+R5,8838.699,270,18217.398,19034.940,19326.895
79,DCMut,9482.436,243,19450.872,20026.523,20449.420
80,DCMut+I,9085.582,244,18659.164,19242.383,19661.820
81,DCMut+G4,8837.430,244,18162.860,18746.080,19165.517
82,DCMut+I+G4,8829.350,245,18148.700,18739.582,19155.466
83,DCMut+R2,8888.528,245,18267.056,18857.938,19273.821
84,DCMut+R3,8831.971,247,18157.942,18764.437,19172.926
85,DCMut+R4,8821.350,249,18140.700,18763.200,19163.903
